Felt;Fyll inn
Selger - navn;
Selger - organisasjonsnummer;
Selger - adresse;
Kjoper - navn;
Kjoper - adresse;
Fakturanummer;
Fakturadato;
Forfallsdato;
Beskrivelse (timer/materiell);
Antall;
Pris eks. mva;
Belop eks. mva;
Mva 25%;
Totalt aa betale;
Kontonummer;
KID;
